Country,Population,Birthrate,Deathrate,Region
Afghanistan,31056997,46.6,20.34,Asia
Albania,3581655,15.11,5.22,Eastern Europe
Algeria,32930091,17.14,4.61,Northern Africa
American Samoa,57794,22.46,3.27,Oceania
Andorra,71201,8.71,6.25,Western Europe
Angola,12127071,45.11,24.2,Sub-saharan Africa
Anguilla,13477,14.17,5.34,Latin America
Antigua & Barbuda,69108,16.93,5.37,Latin America
Argentina,39921833,16.73,7.55,Latin America
Armenia,2976372,12.07,8.23,Commonwealth States
Aruba,71891,11.03,6.68,Latin America
Australia,20264082,12.14,7.51,Oceania
Austria,8192880,8.74,9.76,Western Europe
Azerbaijan,7961619,20.74,9.75,Commonwealth States
Bahamas,303770,17.57,9.05,Latin America
Bahrain,698585,17.8,4.14,Near East
Bangladesh,147365352,29.8,8.27,Asia
Barbados,279912,12.71,8.67,Latin America
Belarus,10293011,11.16,14.02,Commonwealth States
Belgium,10379067,10.38,10.27,Western Europe
Belize,287730,28.84,5.72,Latin America
Benin,7862944,38.85,12.22,Sub-saharan Africa
Bermuda,65773,11.4,7.74,Northern America
Bhutan,2279723,33.65,12.7,Asia
Bolivia,8989046,23.3,7.53,Latin America
Bosnia & Herzegovina,4498976,8.77,8.27,Eastern Europe
Botswana,1639833,23.08,29.5,Sub-saharan Africa
Brazil,188078227,16.56,6.17,Latin America
British Virgin Is.,23098,14.89,4.42,Latin America
Brunei,379444,18.79,3.45,Asia
Bulgaria,7385367,9.65,14.27,Eastern Europe
Burkina Faso,13902972,45.62,15.6,Sub-saharan Africa
Burma,47382633,17.91,9.83,Asia
Burundi,8090068,42.22,13.46,Sub-saharan Africa
Cambodia,13881427,26.9,9.06,Asia
Cameroon,17340702,33.89,13.47,Sub-saharan Africa
Canada,33098932,10.78,7.8,Northern America
Cape Verde,420979,24.87,6.55,Sub-saharan Africa
Cayman Islands,45436,12.74,4.89,Latin America
Central African Rep.,4303356,33.91,18.65,Sub-saharan Africa
Chad,9944201,45.73,16.38,Sub-saharan Africa
Chile,16134219,15.23,5.81,Latin America
China,1313973713,13.25,6.97,Asia
Colombia,43593035,20.48,5.58,Latin America
Comoros,690948,36.93,8.2,Sub-saharan Africa
"Congo, Dem. Rep.",62660551,43.69,13.27,Sub-saharan Africa
"Congo, Repub. of the",3702314,42.57,12.93,Sub-saharan Africa
Costa Rica,4075261,18.32,4.36,Latin America
Cote d'Ivoire,17654843,35.11,14.84,Sub-saharan Africa
Croatia,4494749,9.61,11.48,Eastern Europe
Cuba,11382820,11.89,7.22,Latin America
Cyprus,784301,12.56,7.68,Near East
Czech Republic,10235455,9.02,10.59,Eastern Europe
Denmark,5450661,11.13,10.36,Western Europe
Djibouti,486530,39.53,19.31,Sub-saharan Africa
Dominica,68910,15.27,6.73,Latin America
Dominican Republic,9183984,23.22,5.73,Latin America
East Timor,1062777,26.99,6.24,Asia
Ecuador,13547510,22.29,4.23,Latin America
Egypt,78887007,22.94,5.23,Northern Africa
El Salvador,6822378,26.61,5.78,Latin America
Equatorial Guinea,540109,35.59,15.06,Sub-saharan Africa
Eritrea,4786994,34.33,9.6,Sub-saharan Africa
Estonia,1324333,10.04,13.25,Baltics
Ethiopia,74777981,37.98,14.86,Sub-saharan Africa
Faroe Islands,47246,14.05,8.7,Western Europe
Fiji,905949,22.55,5.65,Oceania
Finland,5231372,10.45,9.86,Western Europe
France,60876136,11.99,9.14,Western Europe
French Guiana,199509,20.46,4.88,Latin America
French Polynesia,274578,16.68,4.69,Oceania
Gabon,1424906,36.16,12.25,Sub-saharan Africa
Gambia,1641564,39.37,12.25,Sub-saharan Africa
Gaza Strip,1428757,39.45,3.8,Near East
Georgia,4661473,10.41,9.23,Commonwealth States
Germany,82422299,8.25,10.62,Western Europe
Ghana,22409572,30.52,9.72,Sub-saharan Africa
Gibraltar,27928,10.74,9.31,Western Europe
Greece,10688058,9.68,10.24,Western Europe
Greenland,56361,15.93,7.84,Northern America
Grenada,89703,22.08,6.88,Latin America
Guadeloupe,452776,15.05,6.09,Latin America
Guam,171019,18.79,4.48,Oceania
Guatemala,12293545,29.88,5.2,Latin America
Guernsey,65409,8.81,10.01,Western Europe
