Year,Date,Deaths_per_1000_People,Annual % Change,Country
2000,31/12/2000,6.835,-0.68,Australia
2001,31/12/2001,6.789,-0.67,Australia
2002,31/12/2002,6.742,-0.69,Australia
2003,31/12/2003,6.696,-0.68,Australia
2004,31/12/2004,6.671,-0.37,Australia
2005,31/12/2005,6.645,-0.39,Australia
2006,31/12/2006,6.62,-0.38,Australia
2007,31/12/2007,6.594,-0.39,Australia
2008,31/12/2008,6.569,-0.38,Australia
2009,31/12/2009,6.562,-0.11,Australia
2010,31/12/2010,6.556,-0.09,Australia
2011,31/12/2011,6.549,-0.11,Australia
2012,31/12/2012,6.543,-0.09,Australia
2013,31/12/2013,6.536,-0.11,Australia
2014,31/12/2014,6.548,0.18,Australia
2015,31/12/2015,6.561,0.2,Australia
2016,31/12/2016,6.573,0.18,Australia
2017,31/12/2017,6.586,0.2,Australia
2018,31/12/2018,6.598,0.18,Australia
2019,31/12/2019,6.622,0.36,Australia
2020,31/12/2020,6.647,0.38,Australia
2021,31/12/2021,6.671,,Australia
2000,31/12/2000,4.556,-0.48,Malaysia
2001,31/12/2001,4.534,-0.48,Malaysia
2002,31/12/2002,4.512,-0.49,Malaysia
2003,31/12/2003,4.49,-0.49,Malaysia
2004,31/12/2004,4.51,0.45,Malaysia
2005,31/12/2005,4.53,0.44,Malaysia
2006,31/12/2006,4.551,0.46,Malaysia
2007,31/12/2007,4.571,0.44,Malaysia
2008,31/12/2008,4.591,0.44,Malaysia
2009,31/12/2009,4.621,0.65,Malaysia
2010,31/12/2010,4.651,0.65,Malaysia
2011,31/12/2011,4.682,0.67,Malaysia
2012,31/12/2012,4.712,0.64,Malaysia
2013,31/12/2013,4.742,0.64,Malaysia
2014,31/12/2014,4.804,1.31,Malaysia
2015,31/12/2015,4.867,1.31,Malaysia
2016,31/12/2016,4.929,1.27,Malaysia
2017,31/12/2017,4.992,1.28,Malaysia
2018,31/12/2018,5.054,1.24,Malaysia
2019,31/12/2019,5.139,1.68,Malaysia
2020,31/12/2020,5.223,1.63,Malaysia
2021,31/12/2021,5.308,,Malaysia
