Age_group,Gender,Number_of_deaths_in_2020
0_to_1,Male,518
01_to_14,Male,212
15_to_24,Male,878
25_to_34,Male,1411
35_to_44,Male,2104
45_to_54,Male,4251
55_to_64,Male,8710
65_to_74,Male,15942
75_to_84,Male,23562
85_to_94,Male,23128
95_above,Male,3866
0_to_1,Female,425
01_to_14,Female,174
15_to_24,Female,328
25_to_34,Female,629
35_to_44,Female,1168
45_to_54,Female,2620
55_to_64,Female,5374
65_to_74,Female,10183
75_to_84,Female,18339
85_to_94,Female,28333
95_above,Female,9138
